strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
superpixel,784,10,0,0.05,0.6087,60.9,0.7542,75.4,31.93,7.0,ok
superpixel,784,10,0,0.1,0.521,52.1,0.6735,67.4,18.3,6.75,ok
superpixel,784,10,0,0.2,0.1671,16.7,0.2465,24.7,4.3,6.68,ok
superpixel,784,10,1,0.05,0.5716,57.2,0.7249,72.5,42.41,7.39,ok
superpixel,784,10,1,0.1,0.6283,62.8,0.7652,76.5,29.12,7.32,ok
superpixel,784,10,1,0.2,0.4932,49.3,0.6336,63.4,15.15,7.31,ok
superpixel,784,10,2,0.05,0.5321,53.2,0.6929,69.3,47.77,7.92,ok
superpixel,784,10,2,0.1,0.6204,62.0,0.763,76.3,35.58,7.93,ok
superpixel,784,10,2,0.2,0.5943,59.4,0.7302,73.0,21.56,7.91,ok
superpixel,784,10,3,0.05,0.5068,50.7,0.6709,67.1,51.22,8.55,ok
superpixel,784,10,3,0.1,0.593,59.3,0.7421,74.2,39.51,8.63,ok
superpixel,784,10,3,0.2,0.6141,61.4,0.752,75.2,24.45,8.58,ok
superpixel,441,10,0,0.05,0.5952,59.5,0.7432,74.3,38.42,6.28,ok
superpixel,441,10,0,0.1,0.5897,59.0,0.7337,73.4,23.36,6.27,ok
superpixel,441,10,0,0.2,0.3039,30.4,0.4152,41.5,8.21,6.38,ok
superpixel,441,10,1,0.05,0.5266,52.7,0.6874,68.7,48.8,6.82,ok
superpixel,441,10,1,0.1,0.6169,61.7,0.7608,76.1,36.04,6.96,ok
superpixel,441,10,1,0.2,0.595,59.5,0.7348,73.5,20.4,6.96,ok
superpixel,441,10,2,0.05,0.4806,48.1,0.6466,64.7,54.82,7.62,ok
superpixel,441,10,2,0.1,0.5691,56.9,0.7231,72.3,43.3,7.53,ok
superpixel,441,10,2,0.2,0.6223,62.2,0.7616,76.2,27.53,7.5,ok
superpixel,441,10,3,0.05,0.4519,45.2,0.6207,62.1,58.91,8.07,ok
superpixel,441,10,3,0.1,0.5289,52.9,0.6901,69.0,48.32,8.19,ok
superpixel,441,10,3,0.2,0.6279,62.8,0.7686,76.9,32.61,8.06,ok
superpixel,196,10,0,0.05,0.4706,47.1,0.6378,63.8,56.6,5.91,ok
superpixel,196,10,0,0.1,0.5906,59.1,0.7389,73.9,40.3,5.83,ok
superpixel,196,10,0,0.2,0.6181,61.8,0.7572,75.7,24.25,5.91,ok
superpixel,196,10,1,0.05,0.4212,42.1,0.5909,59.1,63.87,6.48,ok
superpixel,196,10,1,0.1,0.4924,49.2,0.6583,65.8,53.47,6.49,ok
superpixel,196,10,1,0.2,0.6159,61.6,0.7598,76.0,37.19,6.52,ok
superpixel,196,10,2,0.05,0.4019,40.2,0.5717,57.2,66.98,7.08,ok
superpixel,196,10,2,0.1,0.4496,45.0,0.6185,61.8,59.44,7.08,ok
superpixel,196,10,2,0.2,0.5502,55.0,0.7073,70.7,45.82,7.04,ok
superpixel,196,10,3,0.05,0.3876,38.8,0.5571,55.7,69.5,7.68,ok
superpixel,196,10,3,0.1,0.4218,42.2,0.5919,59.2,63.75,7.69,ok
superpixel,196,10,3,0.2,0.4994,49.9,0.6642,66.4,52.2,7.64,ok
