layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
5,5,dice,0,0.0,0.010895,3.12,1.4e-05,0.010895,2.01,ok,30
5,6,dice,0,0.0,0.011844,3.86,0.001539,0.011844,1.81,ok,30
5,7,dice,0,0.0,0.092525,3.69,1.4e-05,0.092525,1.97,ok,30
5,8,dice,0,0.0,0.005733,2.21,0.000286,0.005733,1.81,ok,30
5,9,dice,0,0.0,0.00359,1.55,2.9e-05,0.00359,1.97,ok,30
5,10,dice,0,0.0,0.263188,5.94,0.006126,0.263188,1.8,ok,30
5,11,dice,0,0.0,0.202967,11.03,2.1e-05,0.202967,2.06,ok,30
6,0,dice,0,0.0,0.080598,10.37,2.5e-05,0.080598,1.89,ok,30
6,1,dice,0,0.0,0.082241,9.73,7.7e-05,0.082241,2.06,ok,30
6,2,dice,0,0.0,0.01182,3.94,0.000627,0.01182,1.78,ok,30
6,3,dice,0,0.0,0.078624,11.22,4e-05,0.078624,2.05,ok,30
6,4,dice,0,0.0,0.065259,10.35,0.000119,0.065259,1.82,ok,30
6,5,dice,0,0.0,0.311363,10.88,0.000713,0.311363,2.01,ok,30
6,6,dice,0,0.0,0.260898,5.65,0.011092,0.260898,1.81,ok,30
6,7,dice,0,0.0,0.011844,3.86,0.003503,0.011844,2.05,ok,30
6,8,dice,0,0.0,0.058485,3.11,1.2e-05,0.058485,1.8,ok,30
6,9,dice,0,0.0,0.012875,2.18,0.000165,0.012875,1.99,ok,30
6,10,dice,0,0.0,0.090766,4.01,1.6e-05,0.090766,1.84,ok,30
6,11,dice,0,0.0,0.026112,3.82,7e-06,0.026112,2.04,ok,30
7,0,dice,0,0.0,0.115746,8.7,0.000171,0.115746,1.89,ok,30
7,1,dice,0,0.0,0.01184,3.87,0.002806,0.01184,2.04,ok,30
7,2,dice,0,0.0,0.066886,10.29,0.000185,0.066886,1.9,ok,30
7,3,dice,0,0.0,0.427391,10.02,0.004586,0.427391,2.01,ok,30
7,4,dice,0,0.0,0.207057,5.19,0.004517,0.207057,1.83,ok,30
7,5,dice,0,0.0,0.067126,8.58,5.5e-05,0.067126,2.08,ok,30
7,6,dice,0,0.0,0.030285,3.42,0.000226,0.030285,1.83,ok,30
7,7,dice,0,0.0,0.011822,3.95,9.5e-05,0.011822,1.99,ok,30
7,8,dice,0,0.0,0.037483,9.8,0.000272,0.037483,1.86,ok,30
7,9,dice,0,0.0,0.478653,12.25,0.005314,0.478653,2.06,ok,30
7,10,dice,0,0.0,0.0094,1.88,0.000218,0.0094,1.8,ok,30
7,11,dice,0,0.0,0.043876,6.98,0.000345,0.043876,2.07,ok,30
8,0,dice,0,0.0,0.011846,3.85,0.002221,0.011846,1.85,ok,30
8,1,dice,0,0.0,0.013559,4.14,5.7e-05,0.013559,2.01,ok,30
8,2,dice,0,0.0,0.203285,7.68,0.000164,0.203285,1.84,ok,30
8,3,dice,0,0.0,0.112927,5.03,0.000505,0.112927,2.03,ok,30
8,4,dice,0,0.0,0.045068,11.74,0.000322,0.045068,1.86,ok,30
8,5,dice,0,0.0,0.055281,2.35,4.2e-05,0.055281,1.97,ok,30
8,6,dice,0,0.0,0.059209,9.9,0.000167,0.059209,2.06,ok,30
8,7,dice,0,0.0,0.015058,4.13,0.00044,0.015058,1.86,ok,30
