strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
regular,16,10,0,0.05,0.49,49.0,0.6048,60.5,10.82,4.44,ok
regular,16,10,0,0.1,0.3993,39.9,0.4986,49.9,7.03,4.44,ok
regular,16,10,0,0.2,0.3405,34.0,0.4236,42.4,4.65,4.44,ok
regular,16,10,1,0.05,0.5021,50.2,0.6215,62.1,12.2,4.8,ok
regular,16,10,1,0.1,0.4636,46.4,0.5742,57.4,8.88,4.75,ok
regular,16,10,1,0.2,0.4098,41.0,0.5075,50.8,6.5,4.75,ok
regular,16,10,2,0.05,0.52,52.0,0.6429,64.3,13.55,5.06,ok
regular,16,10,2,0.1,0.4621,46.2,0.5731,57.3,10.03,5.27,ok
regular,16,10,2,0.2,0.3915,39.2,0.492,49.2,7.28,5.47,ok
regular,24,10,0,0.05,0.4159,41.6,0.5151,51.5,7.28,4.84,ok
regular,24,10,0,0.1,0.3568,35.7,0.4427,44.3,5.0,4.79,ok
regular,24,10,0,0.2,0.2763,27.6,0.3468,34.7,2.92,4.91,ok
regular,24,10,1,0.05,0.4799,48.0,0.5871,58.7,8.6,5.37,ok
regular,24,10,1,0.1,0.4206,42.1,0.5125,51.2,6.53,5.25,ok
regular,24,10,1,0.2,0.3501,35.0,0.4311,43.1,4.46,5.34,ok
regular,24,10,2,0.05,0.5122,51.2,0.623,62.3,9.46,5.65,ok
regular,24,10,2,0.1,0.4543,45.4,0.5483,54.8,7.18,5.7,ok
regular,24,10,2,0.2,0.3916,39.2,0.4788,47.9,5.36,5.62,ok
regular,32,10,0,0.05,0.3569,35.7,0.4357,43.6,5.83,5.36,ok
regular,32,10,0,0.1,0.2932,29.3,0.3586,35.9,4.09,5.35,ok
regular,32,10,0,0.2,0.2011,20.1,0.2561,25.6,2.11,5.52,ok
regular,32,10,1,0.05,0.424,42.4,0.5233,52.3,7.02,5.93,ok
regular,32,10,1,0.1,0.3673,36.7,0.45,45.0,5.27,5.84,ok
regular,32,10,1,0.2,0.285,28.5,0.3616,36.2,3.62,5.78,ok
regular,32,10,2,0.05,0.4619,46.2,0.5553,55.5,7.73,6.46,ok
regular,32,10,2,0.1,0.4002,40.0,0.487,48.7,5.88,6.58,ok
regular,32,10,2,0.2,0.3378,33.8,0.4214,42.1,4.52,6.41,ok
superpixel,64,10,0,0.05,0.5486,54.9,0.67,67.0,22.3,5.43,ok
