image_id,class_name,iou,dice,pred_coverage_pct,gt_coverage_pct,elapsed_s,status
2008_005089_bottle,bottle,0.0,0.0,0.0,1.3,0.79,ok
2008_005089_person,person,0.0,0.0,0.0,10.65,0.79,ok
2008_005089_tvmonitor,tvmonitor,0.0,0.0,0.0,5.42,0.79,ok
2009_004579_bottle,bottle,0.0,0.0,0.0,49.2,0.26,ok
2011_000338_chair,chair,0.0,0.0,0.0,3.52,0.3,ok
2011_000338_diningtable,diningtable,0.0,0.0,0.0,4.39,0.3,ok
2009_005260_bird,bird,0.0,0.0,0.04,5.06,0.38,ok
2008_007031_cow,cow,0.0,0.0,0.0,12.68,0.23,ok
2010_001579_chair,chair,0.0,0.0,0.0,1.87,0.32,ok
2010_001579_diningtable,diningtable,0.0021,0.0041,0.08,32.7,0.32,ok
2010_001579_person,person,0.0,0.0,0.0,37.26,0.32,ok
2008_005727_bicycle,bicycle,0.0013,0.0026,0.05,6.81,0.28,ok
2011_002295_bird,bird,0.0,0.0,0.01,3.78,0.32,ok
2007_003991_cat,cat,0.0,0.0,8.83,23.97,0.25,ok
2007_008670_bird,bird,0.0,0.0,0.0,11.93,0.22,ok
2011_001708_cow,cow,0.0,0.0,0.0,10.12,0.23,ok
2010_005606_cat,cat,0.0,0.0,0.0,13.51,0.3,ok
2010_005606_person,person,0.0,0.0,0.0,19.73,0.3,ok
2010_005606_sofa,sofa,0.0,0.0,0.0,19.65,0.3,ok
2009_003123_chair,chair,0.0,0.0,0.0,1.0,0.28,ok
2009_003123_diningtable,diningtable,0.0,0.0,0.0,6.25,0.28,ok
2009_003123_sofa,sofa,0.0,0.0,0.07,24.83,0.28,ok
2007_003106_cat,cat,0.0,0.0,0.0,2.95,0.29,ok
2007_003106_person,person,0.0,0.0,0.0,20.87,0.29,ok
2010_001327_sofa,sofa,0.0569,0.1077,4.59,80.26,0.27,ok
2010_005871_person,person,0.0,0.0,0.0,15.0,0.3,ok
2010_005871_train,train,0.0229,0.0449,0.48,20.73,0.3,ok
2008_003576_dog,dog,0.0,0.0,0.0,17.95,0.23,ok
2009_001240_car,car,0.0,0.0,0.07,8.66,0.27,ok
2010_003418_bird,bird,0.0,0.0,0.0,6.45,0.22,ok
2011_001190_car,car,0.0,0.0,0.0,0.14,0.25,ok
2011_002754_boat,boat,0.0,0.0,0.0,5.53,0.25,ok
2009_000205_aeroplane,aeroplane,0.0,0.0,0.0,6.09,0.23,ok
2009_000412_horse,horse,0.0,0.0,0.0,29.48,0.24,ok
2011_000669_bird,bird,0.0,0.0,0.0,2.03,0.21,ok
2008_003333_car,car,0.0,0.0,0.01,6.44,0.32,ok
2008_003333_motorbike,motorbike,0.0,0.0,0.0,6.02,0.32,ok
2008_003333_person,person,0.0,0.0,0.0,4.99,0.32,ok
2007_000727_bus,bus,0.0,0.0,5.19,7.13,0.28,ok
2007_000727_car,car,0.0,0.0,0.0,2.65,0.28,ok
2007_000727_person,person,0.0,0.0,0.0,0.91,0.28,ok
2009_004732_bus,bus,0.0,0.0,0.0,33.49,0.25,ok
2008_004175_horse,horse,0.0,0.0,0.37,4.82,0.3,ok
2008_001629_bottle,bottle,0.0,0.0,0.0,0.08,0.29,ok
2008_001629_person,person,0.0,0.0,0.0,29.24,0.29,ok
2009_004217_chair,chair,0.0,0.0,7.31,1.27,0.23,ok
2009_000991_bird,bird,0.0,0.0,0.0,18.37,0.24,ok
2007_006373_person,person,0.0,0.0,0.0,2.41,0.27,ok
2007_006373_sofa,sofa,0.0,0.0,0.0,7.65,0.27,ok
2010_006054_train,train,0.0,0.0,9.41,3.14,0.26,ok
2007_005911_bus,bus,0.0,0.0,0.0,59.78,0.25,ok
2007_001154_pottedplant,pottedplant,0.0,0.0,0.0,0.24,0.28,ok
2007_001154_sofa,sofa,0.0,0.0,0.02,10.63,0.28,ok
2008_006722_dog,dog,0.0,0.0,0.0,15.07,0.28,ok
2008_006722_person,person,0.0,0.0,0.0,31.35,0.28,ok
2008_003876_aeroplane,aeroplane,0.0,0.0,0.0,11.42,0.22,ok
2010_001313_motorbike,motorbike,0.0,0.0,0.0,3.04,0.28,ok
2010_001313_person,person,0.0,0.0,0.37,1.74,0.28,ok
2008_000474_person,person,0.0,0.0,0.0,7.73,0.24,ok
