layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,clip,0,0.0,0.0,9.56,0.000118,0.0,2.37,ok,30
0,1,clip,0,0.0,0.0,5.52,1.2e-05,0.0,2.39,ok,30
0,2,clip,0,0.0,0.0,16.18,0.001006,0.0,2.25,ok,30
0,3,clip,0,0.0,0.0,16.26,2.7e-05,0.0,2.49,ok,30
0,4,clip,0,0.0,0.0,5.09,0.006438,0.0,2.25,ok,30
0,5,clip,0,0.0,0.0,1.41,0.000523,0.0,2.34,ok,30
0,6,clip,0,0.0,0.0,1.56,0.000464,0.0,2.16,ok,30
0,7,clip,0,0.0,0.0,14.86,0.000168,0.0,2.43,ok,30
0,8,clip,0,0.0,0.0,6.44,0.000418,0.0,2.2,ok,30
0,9,clip,0,0.0,0.0,5.99,0.000127,0.0,2.43,ok,30
0,10,clip,0,0.0,0.0,4.44,0.000226,0.0,2.18,ok,30
0,11,clip,0,0.0,0.0,2.84,0.000264,0.0,2.33,ok,30
1,0,clip,0,0.0,0.0,1.75,5.4e-05,0.0,2.18,ok,30
1,1,clip,0,0.0,0.0,7.01,0.000288,0.0,2.37,ok,30
1,2,clip,0,0.0,0.0,2.74,3.1e-05,0.0,2.14,ok,30
1,3,clip,0,0.0,0.0,3.93,0.000908,0.0,2.25,ok,30
1,4,clip,0,0.0,0.0,4.98,0.000435,0.0,2.44,ok,30
1,5,clip,0,0.0,0.0,4.01,0.000803,0.0,2.21,ok,30
1,6,clip,0,0.0,0.0,7.57,2.7e-05,0.0,2.42,ok,30
1,7,clip,0,0.0,0.0,1.72,0.000116,0.0,2.13,ok,30
1,8,clip,0,0.0,0.0,3.86,0.001529,0.0,2.33,ok,30
1,9,clip,0,0.0,0.0,5.95,0.001523,0.0,2.23,ok,30
1,10,clip,0,0.0,0.0,10.46,0.000146,0.0,2.49,ok,30
1,11,clip,0,0.0,0.0,9.8,0.001026,0.0,2.23,ok,30
2,0,clip,0,0.0,0.0,1.59,4e-05,0.0,2.38,ok,30
2,1,clip,0,0.0,0.0,12.43,0.000133,0.0,2.23,ok,30
2,2,clip,0,0.0,0.0,6.14,0.001155,0.0,2.39,ok,30
2,3,clip,0,0.0,0.0,7.18,7e-06,0.0,2.26,ok,30
2,4,clip,0,0.0,0.0,1.23,4e-06,0.0,2.33,ok,30
2,5,clip,0,0.0,0.0,3.32,2.5e-05,0.0,2.2,ok,30
2,6,clip,0,0.0,0.0,8.94,0.000101,0.0,2.48,ok,30
2,7,clip,0,0.0,0.0,4.01,2.3e-05,0.0,2.14,ok,30
2,8,clip,0,0.0,0.0,6.89,0.000158,0.0,2.39,ok,30
2,9,clip,0,0.0,0.0,4.54,2.2e-05,0.0,2.19,ok,30
2,10,clip,0,0.0,0.0,3.92,0.000413,0.0,2.36,ok,30
2,11,clip,0,0.0,0.0,6.83,4.7e-05,0.0,2.2,ok,30
3,0,clip,0,0.0,0.0,5.8,8.1e-05,0.0,2.43,ok,30
3,1,clip,0,0.0,0.0,4.99,1.2e-05,0.0,2.11,ok,30
3,2,clip,0,0.0,0.0,8.71,0.000173,0.0,2.35,ok,30
3,3,clip,0,0.0,0.0,7.88,6e-05,0.0,2.27,ok,30
3,4,clip,0,0.0,0.0,6.4,6.8e-05,0.0,2.17,ok,30
3,5,clip,0,0.0,0.0,0.94,1.6e-05,0.0,2.33,ok,30
3,6,clip,0,0.0,0.0,1.01,6.2e-05,0.0,2.11,ok,30
3,7,clip,0,0.0,0.0,8.34,4.7e-05,0.0,2.36,ok,30
3,8,clip,0,0.0,0.0,2.55,9e-06,0.0,2.16,ok,30
