image_id,class_name,iou,dice,pred_coverage_pct,gt_coverage_pct,elapsed_s,status
2009_000074_person,person,0.003,0.006,15.0,9.04,0.33,ok
2010_001331_cat,cat,0.0022,0.0043,0.12,24.82,0.24,ok
2007_001239_dog,dog,0.0124,0.0246,0.32,21.22,0.25,ok
2010_000814_bird,bird,0.0025,0.005,0.22,47.27,0.33,ok
2008_002269_bicycle,bicycle,0.0003,0.0006,1.89,14.03,0.25,ok
2009_003063_dog,dog,0.0056,0.0111,0.08,7.39,0.3,ok
2011_002075_diningtable,diningtable,0.0,0.0,0.0,11.01,0.32,ok
2011_002075_person,person,0.001,0.0021,5.21,31.76,0.32,ok
2011_001726_pottedplant,pottedplant,0.0018,0.0036,45.88,0.18,0.31,ok
2011_001726_tvmonitor,tvmonitor,0.0,0.0,20.44,2.09,0.31,ok
2008_008393_horse,horse,0.0,0.0,4.2,71.75,0.24,ok
2010_002142_bird,bird,0.0,0.0,37.07,6.23,0.29,ok
2007_003957_train,train,0.0057,0.0113,9.6,20.87,0.24,ok
2007_002539_bus,bus,0.0134,0.0264,5.15,90.76,0.3,ok
2007_002539_person,person,0.0,0.0,0.12,7.27,0.3,ok
2009_003071_chair,chair,0.0,0.0,2.7,12.53,0.26,ok
2009_003071_diningtable,diningtable,0.0131,0.0258,0.42,32.24,0.26,ok
2009_003071_person,person,0.0033,0.0065,31.44,6.42,0.26,ok
2007_009817_bird,bird,0.0019,0.0037,6.21,17.11,0.31,ok
2010_001403_bus,bus,0.0181,0.0356,13.42,58.98,0.27,ok
2010_001403_car,car,0.0,0.0,9.75,4.48,0.27,ok
2008_001547_person,person,0.0068,0.0136,0.05,6.34,0.21,ok
2010_005922_cow,cow,0.0043,0.0086,30.51,0.85,0.25,ok
2010_000318_tvmonitor,tvmonitor,0.0,0.0,2.81,20.71,0.25,ok
2007_005626_train,train,0.0026,0.0052,0.33,52.69,0.25,ok
2008_000123_bird,bird,0.0068,0.0135,0.05,3.1,0.22,ok
2010_001563_dog,dog,0.0,0.0,0.9,1.1,0.26,ok
2010_001563_person,person,0.2466,0.3957,1.88,3.38,0.26,ok
2011_002358_bottle,bottle,0.0,0.0,4.65,0.43,0.29,ok
2011_002358_chair,chair,0.0,0.0,13.62,5.41,0.29,ok
2011_002358_diningtable,diningtable,0.0,0.0,4.25,15.52,0.29,ok
2011_002358_person,person,0.3656,0.5355,23.94,26.05,0.29,ok
2010_006026_sheep,sheep,0.0,0.0,1.95,1.37,0.23,ok
2009_005156_bicycle,bicycle,0.0116,0.023,3.15,3.24,0.28,ok
2009_003576_motorbike,motorbike,0.0,0.0,7.93,4.19,0.29,ok
2009_003576_person,person,0.1711,0.2922,5.92,8.43,0.29,ok
2007_005813_pottedplant,pottedplant,0.0,0.0,0.0,4.17,0.26,ok
2007_000572_bicycle,bicycle,0.0,0.0,9.26,3.96,0.26,ok
2008_006229_boat,boat,0.011,0.0218,0.12,9.56,0.21,ok
2008_007120_bird,bird,0.02,0.0392,0.27,12.19,0.21,ok
2010_003123_bicycle,bicycle,0.0,0.0,2.55,0.14,0.27,ok
2010_003123_car,car,0.0,0.0,22.92,2.23,0.27,ok
2010_003123_pottedplant,pottedplant,0.0,0.0,0.0,57.3,0.27,ok
2010_005401_boat,boat,0.0009,0.0017,26.55,26.14,0.22,ok
2010_002017_bottle,bottle,0.0,0.0,0.0,2.58,0.36,ok
2010_002017_car,car,0.0,0.0,4.32,8.18,0.36,ok
2010_002017_chair,chair,0.0,0.0,2.37,4.16,0.36,ok
2010_002017_person,person,0.3161,0.4803,8.15,11.28,0.36,ok
2009_003696_aeroplane,aeroplane,0.0179,0.0352,11.96,12.66,0.23,ok
2011_001665_chair,chair,0.0007,0.0013,35.22,3.32,0.4,ok
2011_001665_diningtable,diningtable,0.0001,0.0002,0.23,34.69,0.4,ok
2007_003101_bus,bus,0.0347,0.067,20.25,68.97,0.37,ok
2007_003101_car,car,0.0,0.0,3.1,0.27,0.37,ok
2010_001448_aeroplane,aeroplane,0.0089,0.0177,0.26,11.65,0.21,ok
2007_006647_motorbike,motorbike,0.0,0.0,0.06,36.19,0.36,ok
2007_006647_person,person,0.0616,0.116,1.1,16.33,0.36,ok
2010_000683_cat,cat,0.3899,0.561,39.99,65.25,0.26,ok
2008_001260_boat,boat,0.0013,0.0026,23.97,16.3,0.33,ok
2007_006678_sheep,sheep,0.0,0.0,0.0,30.07,0.27,ok
2010_000622_aeroplane,aeroplane,0.0537,0.102,1.86,11.08,0.28,ok
2008_004701_cow,cow,0.0,0.0,0.0,56.03,0.22,ok
2008_007548_cat,cat,0.0062,0.0123,0.07,11.35,0.24,ok
2007_007534_sheep,sheep,0.0077,0.0153,0.5,53.47,0.23,ok
2010_000874_horse,horse,0.1497,0.2604,14.96,45.57,0.28,ok
2010_005888_aeroplane,aeroplane,0.0025,0.005,11.48,2.46,0.21,ok
2008_007804_bus,bus,0.0,0.0,0.0,0.74,0.29,ok
2008_007804_car,car,0.2331,0.3781,21.26,23.3,0.29,ok
2008_000992_person,person,0.3046,0.467,22.1,28.89,0.27,ok
2010_000572_aeroplane,aeroplane,0.0,0.0,41.98,8.39,0.21,ok
2009_003703_bus,bus,0.0001,0.0002,8.88,41.52,0.26,ok
2009_004507_dog,dog,0.2353,0.3809,6.72,27.64,0.28,ok
2009_004507_person,person,0.0,0.0,0.0,10.48,0.28,ok
2008_001013_boat,boat,0.0017,0.0034,10.96,34.33,0.31,ok
2008_001013_person,person,0.0001,0.0003,4.52,2.22,0.31,ok
2009_000998_bird,bird,0.0,0.0,0.02,12.51,0.25,ok
2009_003903_horse,horse,0.2295,0.3733,3.05,12.14,0.27,ok
2010_001104_train,train,0.0,0.0,0.0,6.36,0.22,ok
2007_009794_cat,cat,0.0012,0.0025,0.07,56.78,0.23,ok
2010_004635_cow,cow,0.2726,0.4284,12.63,12.75,0.28,ok
2009_001278_bottle,bottle,0.0054,0.0107,10.02,2.21,0.24,ok
2010_003362_bird,bird,0.0007,0.0014,2.08,30.6,0.29,ok
2007_004275_motorbike,motorbike,0.0,0.0,1.05,23.67,0.32,ok
2007_004275_person,person,0.2761,0.4327,3.38,7.38,0.32,ok
2007_004275_pottedplant,pottedplant,0.0,0.0001,33.79,1.22,0.32,ok
2008_001514_bird,bird,0.0043,0.0086,0.19,4.56,0.24,ok
2009_002527_cat,cat,0.0141,0.0279,0.51,24.97,0.29,ok
2011_001862_chair,chair,0.0,0.0,3.18,0.43,0.32,ok
2011_001862_diningtable,diningtable,0.0,0.0,1.49,0.85,0.32,ok
2011_001862_dog,dog,0.0,0.0,0.73,1.18,0.32,ok
2011_001862_pottedplant,pottedplant,0.0,0.0,24.01,0.37,0.32,ok
2011_001862_sofa,sofa,0.0,0.0,13.05,10.16,0.32,ok
2007_001585_bottle,bottle,0.0,0.0,0.0,0.08,0.25,ok
2007_001585_person,person,0.0,0.0,7.27,6.25,0.25,ok
2007_001585_sofa,sofa,0.0,0.0,0.0,13.57,0.25,ok
