layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,1,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,2,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,3,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,4,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,5,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,6,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,7,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,8,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,9,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,10,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,11,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,12,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,13,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,14,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,15,clip,,,,,,,0.01,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,0,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,1,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,2,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,3,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,4,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,5,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,6,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,7,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,8,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,9,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,10,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,11,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,12,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,13,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,14,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,15,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,0,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,1,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,2,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,3,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,4,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,5,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,6,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,7,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,8,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,9,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,10,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,11,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,12,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,13,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,14,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,15,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,0,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,1,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,2,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,3,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,4,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,5,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,6,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,7,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,8,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,9,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,10,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,11,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,12,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,13,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,14,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,15,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,0,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,1,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,2,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,3,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,4,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,5,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,6,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,7,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,8,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,9,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,10,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,11,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,12,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,13,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,14,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,15,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,0,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,1,clip,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
