strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
regular,16,10,0,0.05,0.5207,52.1,0.6825,68.3,49.28,4.97,ok
regular,16,10,0,0.1,0.6356,63.6,0.7742,77.4,33.27,5.07,ok
regular,16,10,0,0.2,0.532,53.2,0.6789,67.9,17.6,5.28,ok
regular,16,10,1,0.05,0.4557,45.6,0.6245,62.5,58.36,5.74,ok
regular,16,10,1,0.1,0.5527,55.3,0.7104,71.0,45.54,5.73,ok
regular,16,10,1,0.2,0.6805,68.0,0.808,80.8,28.53,5.63,ok
regular,16,10,2,0.05,0.4342,43.4,0.604,60.4,61.77,6.36,ok
regular,16,10,2,0.1,0.5141,51.4,0.677,67.7,50.44,6.51,ok
regular,16,10,2,0.2,0.6579,65.8,0.7912,79.1,33.9,6.41,ok
regular,24,10,0,0.05,0.5861,58.6,0.736,73.6,36.71,5.56,ok
regular,24,10,0,0.1,0.5246,52.5,0.6738,67.4,21.37,5.64,ok
regular,24,10,0,0.2,0.2614,26.1,0.3564,35.6,6.99,5.6,ok
regular,24,10,1,0.05,0.5266,52.7,0.6872,68.7,48.17,6.52,ok
regular,24,10,1,0.1,0.6087,60.9,0.754,75.4,34.61,6.27,ok
regular,24,10,1,0.2,0.5564,55.6,0.6957,69.6,18.08,6.33,ok
regular,24,10,2,0.05,0.4936,49.4,0.6588,65.9,52.79,7.09,ok
regular,24,10,2,0.1,0.5778,57.8,0.7292,72.9,41.09,7.1,ok
regular,24,10,2,0.2,0.6328,63.3,0.7692,76.9,24.91,7.19,ok
regular,32,10,0,0.05,0.5958,59.6,0.7421,74.2,28.51,6.5,ok
regular,32,10,0,0.1,0.4483,44.8,0.5895,58.9,14.58,6.34,ok
regular,32,10,0,0.2,0.1178,11.8,0.1734,17.3,2.97,6.33,ok
regular,32,10,1,0.05,0.5911,59.1,0.7401,74.0,39.65,6.96,ok
regular,32,10,1,0.1,0.6298,63.0,0.7671,76.7,26.81,7.12,ok
regular,32,10,1,0.2,0.4248,42.5,0.5595,56.0,12.28,7.28,ok
regular,32,10,2,0.05,0.5601,56.0,0.715,71.5,44.41,8.01,ok
regular,32,10,2,0.1,0.6366,63.7,0.7755,77.5,31.92,8.06,ok
regular,32,10,2,0.2,0.5509,55.1,0.6951,69.5,17.72,7.94,ok
superpixel,64,10,0,0.05,0.394,39.4,0.5637,56.4,68.48,7.05,ok
superpixel,64,10,0,0.1,0.4574,45.7,0.6253,62.5,58.45,7.27,ok
superpixel,64,10,0,0.2,0.5596,56.0,0.7144,71.4,43.9,7.18,ok
superpixel,64,10,1,0.05,0.3575,35.7,0.5248,52.5,75.67,7.81,ok
superpixel,64,10,1,0.1,0.3996,40.0,0.5691,56.9,67.43,7.76,ok
superpixel,64,10,1,0.2,0.4718,47.2,0.6381,63.8,56.23,7.79,ok
superpixel,64,10,2,0.05,0.3468,34.7,0.5132,51.3,77.98,8.56,ok
superpixel,64,10,2,0.1,0.3636,36.4,0.5284,52.8,70.13,8.44,ok
superpixel,64,10,2,0.2,0.3889,38.9,0.5472,54.7,54.25,8.71,ok
superpixel,128,10,0,0.05,0.4395,44.0,0.6089,60.9,61.17,7.39,ok
superpixel,128,10,0,0.1,0.5269,52.7,0.6875,68.8,48.8,7.3,ok
superpixel,128,10,0,0.2,0.6669,66.7,0.797,79.7,31.28,7.28,ok
superpixel,128,10,1,0.05,0.3966,39.7,0.5666,56.7,67.98,7.89,ok
superpixel,128,10,1,0.1,,,,,,0.39,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 3.12 MiB is free. Process 1014687 has 5.28 GiB memory in use. Including non-PyTorch memory, this process has 89.62 GiB memory in use. Of the allocated memory 86.96 GiB is allocated by PyTorch, and 2.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,128,10,1,0.2,,,,,,0.11,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 3.12 MiB is free. Process 1014687 has 5.28 GiB memory in use. Including non-PyTorch memory, this process has 89.62 GiB memory in use. Of the allocated memory 86.95 GiB is allocated by PyTorch, and 2.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
superpixel,128,10,2,0.05,,,,,,0.1,"error:CUDA out of memory. Tried to allocate 12.00 MiB. GPU 0 has a total capacity of 94.96 GiB of which 3.12 MiB is free. Process 1014687 has 5.28 GiB memory in use. Including non-PyTorch memory, this process has 89.62 GiB memory in use. Of the allocated memory 86.95 GiB is allocated by PyTorch, and 2.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
