strategy,granularity,patches_per_drop,dropout_rounds,threshold,miou,miou_pct,mdice,mdice_pct,mask_coverage_mean,elapsed_s,status
regular,12,10,0,0.05,0.4329,43.3,0.602,60.2,62.24,4.34,ok
regular,12,10,0,0.1,0.5289,52.9,0.6892,68.9,48.86,4.04,ok
regular,12,10,0,0.2,0.6666,66.7,0.7984,79.8,30.41,4.0,ok
regular,12,10,1,0.05,0.4003,40.0,0.5701,57.0,67.38,4.64,ok
regular,12,10,1,0.1,0.4571,45.7,0.6258,62.6,58.32,4.59,ok
regular,12,10,1,0.2,0.5814,58.1,0.7331,73.3,42.65,4.56,ok
regular,12,10,2,0.05,0.3956,39.6,0.5654,56.5,68.21,5.26,ok
regular,12,10,2,0.1,0.4442,44.4,0.6135,61.3,59.94,5.24,ok
regular,12,10,2,0.2,0.5583,55.8,0.714,71.4,45.07,5.29,ok
regular,12,10,3,0.05,0.3793,37.9,0.5483,54.8,71.07,5.9,ok
regular,12,10,3,0.1,0.4162,41.6,0.5856,58.6,64.49,5.86,ok
regular,12,10,3,0.2,0.493,49.3,0.657,65.7,53.25,5.88,ok
regular,16,10,0,0.05,0.4794,47.9,0.6461,64.6,55.3,4.16,ok
regular,16,10,0,0.1,0.6078,60.8,0.7533,75.3,38.88,4.18,ok
regular,16,10,0,0.2,0.63,63.0,0.7676,76.8,22.71,4.29,ok
regular,16,10,1,0.05,0.4299,43.0,0.5996,60.0,62.44,4.88,ok
regular,16,10,1,0.1,0.5147,51.5,0.6775,67.7,50.56,4.82,ok
regular,16,10,1,0.2,0.6645,66.4,0.7967,79.7,33.29,4.84,ok
