strategy,segment_param,dropout_rounds,patches_per_drop,miou,miou_pct,mdice,mdice_pct,score,score_pct,metric,mask_coverage_mean,elapsed_s,status
superpixel,sp144,4,25,0.239,23.9,0.3175,31.7,0.3175,31.7,dice,7.41,17.2,ok
superpixel,sp144,5,25,0.2386,23.9,0.3168,31.7,0.3168,31.7,dice,7.4,17.5,ok
superpixel,sp144,6,25,0.2386,23.9,0.3168,31.7,0.3168,31.7,dice,7.4,18.1,ok
superpixel,sp144,1,35,0.3317,33.2,0.4191,41.9,0.4191,41.9,dice,8.79,18.3,ok
superpixel,sp144,2,35,0.2932,29.3,0.3735,37.4,0.3735,37.4,dice,8.11,18.2,ok
superpixel,sp144,3,35,0.2682,26.8,0.3415,34.1,0.3415,34.1,dice,6.7,18.2,ok
superpixel,sp144,4,35,0.2682,26.8,0.3415,34.1,0.3415,34.1,dice,6.7,18.5,ok
superpixel,sp144,5,35,0.2682,26.8,0.3415,34.1,0.3415,34.1,dice,6.7,18.4,ok
superpixel,sp144,6,35,0.2682,26.8,0.3415,34.1,0.3415,34.1,dice,6.7,18.5,ok
superpixel,sp144,1,50,0.3065,30.7,0.389,38.9,0.389,38.9,dice,7.02,16.7,ok
superpixel,sp144,2,50,0.276,27.6,0.3492,34.9,0.3492,34.9,dice,6.36,17.1,ok
superpixel,sp144,3,50,0.276,27.6,0.3492,34.9,0.3492,34.9,dice,6.36,17.3,ok
superpixel,sp144,4,50,0.276,27.6,0.3492,34.9,0.3492,34.9,dice,6.36,17.5,ok
superpixel,sp144,5,50,0.276,27.6,0.3492,34.9,0.3492,34.9,dice,6.36,18.0,ok
superpixel,sp144,6,50,0.276,27.6,0.3492,34.9,0.3492,34.9,dice,6.36,18.4,ok
superpixel,sp256,0,n/a,0.3473,34.7,0.4442,44.4,0.4442,44.4,dice,5.65,17.5,ok
superpixel,sp256,1,5,0.4325,43.2,0.536,53.6,0.536,53.6,dice,8.94,16.6,ok
superpixel,sp256,2,5,0.4417,44.2,0.5435,54.3,0.5435,54.3,dice,10.99,16.7,ok
superpixel,sp256,3,5,0.4502,45.0,0.5574,55.7,0.5574,55.7,dice,12.03,16.9,ok
superpixel,sp256,4,5,0.4053,40.5,0.5098,51.0,0.5098,51.0,dice,13.51,17.1,ok
superpixel,sp256,5,5,0.3834,38.3,0.4867,48.7,0.4867,48.7,dice,16.09,17.6,ok
superpixel,sp256,6,5,0.3809,38.1,0.4817,48.2,0.4817,48.2,dice,17.5,17.9,ok
superpixel,sp256,1,10,0.3948,39.5,0.4855,48.5,0.4855,48.5,dice,9.47,16.7,ok
superpixel,sp256,2,10,0.3889,38.9,0.4761,47.6,0.4761,47.6,dice,12.32,16.7,ok
superpixel,sp256,3,10,0.375,37.5,0.4627,46.3,0.4627,46.3,dice,14.82,16.8,ok
superpixel,sp256,4,10,0.3517,35.2,0.4432,44.3,0.4432,44.3,dice,17.17,17.0,ok
superpixel,sp256,5,10,0.3462,34.6,0.4405,44.1,0.4405,44.1,dice,19.23,17.2,ok
superpixel,sp256,6,10,0.327,32.7,0.425,42.5,0.425,42.5,dice,20.72,17.4,ok
superpixel,sp256,1,25,0.3314,33.1,0.4222,42.2,0.4222,42.2,dice,8.37,18.3,ok
superpixel,sp256,2,25,0.2921,29.2,0.3794,37.9,0.3794,37.9,dice,8.85,18.3,ok
superpixel,sp256,3,25,0.2649,26.5,0.3462,34.6,0.3462,34.6,dice,10.0,18.3,ok
superpixel,sp256,4,25,0.2503,25.0,0.3264,32.6,0.3264,32.6,dice,10.02,18.6,ok
superpixel,sp256,5,25,0.2266,22.7,0.2952,29.5,0.2952,29.5,dice,9.0,18.7,ok
superpixel,sp256,6,25,0.2201,22.0,0.2861,28.6,0.2861,28.6,dice,8.85,18.9,ok
superpixel,sp256,1,35,0.2891,28.9,0.3667,36.7,0.3667,36.7,dice,7.56,16.9,ok
superpixel,sp256,2,35,0.2664,26.6,0.3411,34.1,0.3411,34.1,dice,8.33,17.3,ok
superpixel,sp256,3,35,0.2437,24.4,0.3123,31.2,0.3123,31.2,dice,7.89,17.8,ok
superpixel,sp256,4,35,0.219,21.9,0.281,28.1,0.281,28.1,dice,6.25,18.5,ok
superpixel,sp256,5,35,0.1958,19.6,0.2531,25.3,0.2531,25.3,dice,5.03,19.1,ok
superpixel,sp256,6,35,0.1963,19.6,0.2531,25.3,0.2531,25.3,dice,5.0,19.2,ok
superpixel,sp256,1,50,0.253,25.3,0.3274,32.7,0.3274,32.7,dice,4.72,18.5,ok
superpixel,sp256,2,50,0.2092,20.9,0.2723,27.2,0.2723,27.2,dice,3.59,18.6,ok
superpixel,sp256,3,50,0.1918,19.2,0.2479,24.8,0.2479,24.8,dice,2.98,18.8,ok
superpixel,sp256,4,50,0.1741,17.4,0.226,22.6,0.226,22.6,dice,2.55,19.1,ok
superpixel,sp256,5,50,0.1741,17.4,0.226,22.6,0.226,22.6,dice,2.55,19.3,ok
superpixel,sp256,6,50,0.1741,17.4,0.226,22.6,0.226,22.6,dice,2.55,19.2,ok
superpixel,sp441,0,n/a,0.2735,27.3,0.363,36.3,0.363,36.3,dice,3.49,16.1,ok
superpixel,sp441,1,5,0.3821,38.2,0.4835,48.3,0.4835,48.3,dice,6.1,18.9,ok
superpixel,sp441,2,5,0.4255,42.5,0.5306,53.1,0.5306,53.1,dice,7.46,18.4,ok
superpixel,sp441,3,5,0.4312,43.1,0.5285,52.9,0.5285,52.9,dice,8.64,18.3,ok
superpixel,sp441,4,5,0.4404,44.0,0.5357,53.6,0.5357,53.6,dice,9.14,18.4,ok
superpixel,sp441,5,5,0.4459,44.6,0.5434,54.3,0.5434,54.3,dice,9.58,18.4,ok
superpixel,sp441,6,5,0.4479,44.8,0.5469,54.7,0.5469,54.7,dice,9.97,18.4,ok
superpixel,sp441,1,10,0.4014,40.1,0.5019,50.2,0.5019,50.2,dice,6.71,17.1,ok
superpixel,sp441,2,10,0.4068,40.7,0.5025,50.3,0.5025,50.3,dice,8.45,17.2,ok
superpixel,sp441,3,10,0.416,41.6,0.5142,51.4,0.5142,51.4,dice,9.22,17.5,ok
superpixel,sp441,4,10,0.3912,39.1,0.4893,48.9,0.4893,48.9,dice,10.11,17.8,ok
superpixel,sp441,5,10,0.3857,38.6,0.4833,48.3,0.4833,48.3,dice,11.61,18.1,ok
superpixel,sp441,6,10,0.3832,38.3,0.4789,47.9,0.4789,47.9,dice,12.75,18.6,ok
superpixel,sp441,1,25,0.3283,32.8,0.4222,42.2,0.4222,42.2,dice,6.84,17.2,ok
superpixel,sp441,2,25,0.31,31.0,0.3984,39.8,0.3984,39.8,dice,8.05,17.3,ok
superpixel,sp441,3,25,0.3051,30.5,0.3965,39.6,0.3965,39.6,dice,9.31,17.5,ok
superpixel,sp441,4,25,0.2692,26.9,0.3511,35.1,0.3511,35.1,dice,9.61,17.7,ok
superpixel,sp441,5,25,0.25,25.0,0.3289,32.9,0.3289,32.9,dice,9.0,17.8,ok
superpixel,sp441,6,25,0.241,24.1,0.3144,31.4,0.3144,31.4,dice,9.0,18.0,ok
superpixel,sp441,1,35,0.3065,30.7,0.3937,39.4,0.3937,39.4,dice,5.89,18.8,ok
superpixel,sp441,2,35,0.2622,26.2,0.3447,34.5,0.3447,34.5,dice,6.65,18.7,ok
superpixel,sp441,3,35,0.2245,22.4,0.3045,30.5,0.3045,30.5,dice,6.69,19.0,ok
superpixel,sp441,4,35,0.2314,23.1,0.308,30.8,0.308,30.8,dice,7.21,19.1,ok
superpixel,sp441,5,35,0.2124,21.2,0.2864,28.6,0.2864,28.6,dice,6.76,19.5,ok
superpixel,sp441,6,35,0.189,18.9,0.255,25.5,0.255,25.5,dice,6.38,19.7,ok
superpixel,sp441,1,50,0.2371,23.7,0.3071,30.7,0.3071,30.7,dice,4.64,17.3,ok
superpixel,sp441,2,50,0.188,18.8,0.2493,24.9,0.2493,24.9,dice,4.36,17.6,ok
superpixel,sp441,3,50,0.1772,17.7,0.2369,23.7,0.2369,23.7,dice,4.46,18.0,ok
superpixel,sp441,4,50,0.1633,16.3,0.2204,22.0,0.2204,22.0,dice,4.04,18.4,ok
superpixel,sp441,5,50,0.1508,15.1,0.2041,20.4,0.2041,20.4,dice,3.31,18.8,ok
superpixel,sp441,6,50,0.1265,12.7,0.1737,17.4,0.1737,17.4,dice,2.68,19.4,ok
superpixel,sp576,0,n/a,0.2898,29.0,0.3793,37.9,0.3793,37.9,dice,3.77,17.9,ok
superpixel,sp576,1,5,0.3722,37.2,0.4702,47.0,0.4702,47.0,dice,5.89,17.4,ok
superpixel,sp576,2,5,0.415,41.5,0.5162,51.6,0.5162,51.6,dice,7.2,17.5,ok
superpixel,sp576,3,5,0.4224,42.2,0.5214,52.1,0.5214,52.1,dice,7.66,17.4,ok
superpixel,sp576,4,5,0.4362,43.6,0.5352,53.5,0.5352,53.5,dice,8.54,17.5,ok
superpixel,sp576,5,5,0.4393,43.9,0.5368,53.7,0.5368,53.7,dice,9.01,17.7,ok
superpixel,sp576,6,5,0.446,44.6,0.5454,54.5,0.5454,54.5,dice,9.47,17.9,ok
superpixel,sp576,1,10,0.3786,37.9,0.4753,47.5,0.4753,47.5,dice,6.03,19.1,ok
superpixel,sp576,2,10,0.4249,42.5,0.5202,52.0,0.5202,52.0,dice,7.78,18.8,ok
superpixel,sp576,3,10,0.4083,40.8,0.5017,50.2,0.5017,50.2,dice,8.67,18.7,ok
superpixel,sp576,4,10,0.4018,40.2,0.496,49.6,0.496,49.6,dice,9.86,18.9,ok
superpixel,sp576,5,10,0.3952,39.5,0.4912,49.1,0.4912,49.1,dice,11.06,18.8,ok
superpixel,sp576,6,10,0.3945,39.5,0.4918,49.2,0.4918,49.2,dice,12.44,18.9,ok
superpixel,sp576,1,25,0.3553,35.5,0.4488,44.9,0.4488,44.9,dice,6.11,17.5,ok
superpixel,sp576,2,25,0.3515,35.2,0.4487,44.9,0.4487,44.9,dice,8.16,17.9,ok
superpixel,sp576,3,25,0.325,32.5,0.4155,41.5,0.4155,41.5,dice,8.84,18.8,ok
superpixel,sp576,4,25,0.3284,32.8,0.4172,41.7,0.4172,41.7,dice,10.61,19.3,ok
superpixel,sp576,5,25,0.3173,31.7,0.4069,40.7,0.4069,40.7,dice,10.89,19.4,ok
superpixel,sp576,6,25,0.3111,31.1,0.4017,40.2,0.4017,40.2,dice,11.97,19.5,ok
superpixel,sp576,1,35,0.295,29.5,0.374,37.4,0.374,37.4,dice,5.56,19.3,ok
superpixel,sp576,2,35,0.2733,27.3,0.3496,35.0,0.3496,35.0,dice,6.52,19.0,ok
superpixel,sp576,3,35,0.2585,25.8,0.3365,33.7,0.3365,33.7,dice,7.84,19.2,ok
superpixel,sp576,4,35,0.2571,25.7,0.3343,33.4,0.3343,33.4,dice,8.07,19.5,ok
superpixel,sp576,5,35,0.2203,22.0,0.2893,28.9,0.2893,28.9,dice,6.9,19.7,ok
superpixel,sp576,6,35,0.2234,22.3,0.292,29.2,0.292,29.2,dice,7.69,19.8,ok
superpixel,sp576,1,50,0.2848,28.5,0.3591,35.9,0.3591,35.9,dice,5.33,17.6,ok
superpixel,sp576,2,50,0.231,23.1,0.3009,30.1,0.3009,30.1,dice,5.66,18.0,ok
superpixel,sp576,3,50,0.1967,19.7,0.2601,26.0,0.2601,26.0,dice,5.79,18.7,ok
superpixel,sp576,4,50,0.1805,18.1,0.2387,23.9,0.2387,23.9,dice,5.48,19.2,ok
superpixel,sp576,5,50,0.1794,17.9,0.2366,23.7,0.2366,23.7,dice,5.41,20.0,ok
superpixel,sp576,6,50,0.165,16.5,0.2213,22.1,0.2213,22.1,dice,5.42,20.6,ok
superpixel,sp784,0,n/a,0.2536,25.4,0.3365,33.7,0.3365,33.7,dice,3.26,16.9,ok
superpixel,sp784,1,5,0.3343,33.4,0.4288,42.9,0.4288,42.9,dice,5.18,19.3,ok
superpixel,sp784,2,5,0.3833,38.3,0.4805,48.1,0.4805,48.1,dice,6.14,19.2,ok
superpixel,sp784,3,5,0.408,40.8,0.5088,50.9,0.5088,50.9,dice,6.83,19.2,ok
superpixel,sp784,4,5,0.4297,43.0,0.5306,53.1,0.5306,53.1,dice,7.52,19.1,ok
superpixel,sp784,5,5,0.4332,43.3,0.5337,53.4,0.5337,53.4,dice,7.79,19.2,ok
superpixel,sp784,6,5,0.4358,43.6,0.5408,54.1,0.5408,54.1,dice,8.24,19.2,ok
superpixel,sp784,1,10,0.3642,36.4,0.4643,46.4,0.4643,46.4,dice,5.62,17.8,ok
superpixel,sp784,2,10,0.4261,42.6,0.5274,52.7,0.5274,52.7,dice,7.44,17.9,ok
superpixel,sp784,3,10,0.4398,44.0,0.5371,53.7,0.5371,53.7,dice,8.45,18.0,ok
superpixel,sp784,4,10,0.4403,44.0,0.5381,53.8,0.5381,53.8,dice,9.23,18.2,ok
superpixel,sp784,5,10,0.4355,43.5,0.5338,53.4,0.5338,53.4,dice,10.06,18.4,ok
superpixel,sp784,6,10,0.4199,42.0,0.5239,52.4,0.5239,52.4,dice,10.3,19.0,ok
superpixel,sp784,1,25,0.3395,33.9,0.4355,43.5,0.4355,43.5,dice,5.84,19.5,ok
superpixel,sp784,2,25,0.3668,36.7,0.455,45.5,0.455,45.5,dice,7.83,19.4,ok
superpixel,sp784,3,25,0.3644,36.4,0.4497,45.0,0.4497,45.0,dice,8.5,19.4,ok
superpixel,sp784,4,25,0.3442,34.4,0.4266,42.7,0.4266,42.7,dice,9.56,19.7,ok
superpixel,sp784,5,25,0.3505,35.1,0.436,43.6,0.436,43.6,dice,11.64,20.0,ok
superpixel,sp784,6,25,0.3297,33.0,0.4203,42.0,0.4203,42.0,dice,12.39,20.1,ok
superpixel,sp784,1,35,0.2992,29.9,0.3842,38.4,0.3842,38.4,dice,5.36,18.1,ok
superpixel,sp784,2,35,0.3098,31.0,0.3937,39.4,0.3937,39.4,dice,6.97,18.4,ok
superpixel,sp784,3,35,0.2897,29.0,0.3732,37.3,0.3732,37.3,dice,7.98,19.0,ok
superpixel,sp784,4,35,0.2567,25.7,0.3343,33.4,0.3343,33.4,dice,8.52,19.6,ok
superpixel,sp784,5,35,0.2476,24.8,0.3266,32.7,0.3266,32.7,dice,8.36,20.3,ok
superpixel,sp784,6,35,0.2211,22.1,0.2898,29.0,0.2898,29.0,dice,8.47,20.5,ok
superpixel,sp784,1,50,0.2686,26.9,0.3457,34.6,0.3457,34.6,dice,4.9,19.9,ok
superpixel,sp784,2,50,0.2243,22.4,0.2895,28.9,0.2895,28.9,dice,5.18,19.7,ok
superpixel,sp784,3,50,0.1839,18.4,0.2476,24.8,0.2476,24.8,dice,4.89,20.1,ok
superpixel,sp784,4,50,0.1907,19.1,0.2538,25.4,0.2538,25.4,dice,5.89,20.3,ok
superpixel,sp784,5,50,0.1906,19.1,0.2572,25.7,0.2572,25.7,dice,6.13,20.7,ok
superpixel,sp784,6,50,0.1883,18.8,0.2539,25.4,0.2539,25.4,dice,6.38,20.9,ok
